review,sentiment
hi i am gonna get into it real quick i kinda find the app has lost one practical option i cannot send pictures that belong to my cameras album directely from the app now i have to go to gallery and choose pictures to send which is not fast and practical as it was before i hope we can get that option back thank you in advance,positive
the basic messaging app is perfect the need to be seen always evolving it adds complexity especially to more vulnerable users reacted to feature should at least come up as a notification otherwise the recipient never knows they got a response show once image option for a few sending explicit images adds complexity for all data cleanup should be better including the ability to delete all the media i have sent for each contact as by definition i already have this media stored on my device,positive
this app is terrible firstly i cannot send long videos to my contacts especially when it is something important it only takes half of my video and sends it to the contact and i cannot download a video that is long like seriously what if its something important i need to see secondly when i send a message it takes a very long time before it goes it also takes a very long time before i receive messages i also have a lot of issues to talk about but i cannot cuz the limits  words stupid app,negative
believe me this application is wonderful regarding communication send message at anytime of the day it will reach the addressee at any time and place across the country and continent is this not marvelous it is better than currier it also applied to photos black or colored it carries season greetings we use the application to talk to one another voice or looking at one another it is used to capture and send it to other people the list is long,positive
quick access to phone gallery not working anymore it requires more clicks and you cannot select several pictures at once whoever is responsible for user experience has messed up real bad quick access only to media within whatsapp is ridiculous and shows complete disregard for user experience what a huge step back on usability disgraceful,negative
i use whatsapp as my primary messagingphoto sharing app but since the last update i am considering not using it at all any more the new media picker is beyond poor and has broken a functional design i cannot send photos from my screenshots or camera roll without several taps i do not understand the logic behind this i am also having to resort to going to my gallery to select more than one photo from my screenshots or camera roll please roll back,negative
it is a convenience communication tool that continues to improve it is services though it would be great if it was like before in the aspect that it did not take hours to resend sms for verification it would be very very very useful if there was a hide chat feature to keep your selected chat from unwanted eyes going on the app,positive
can no longer bulk send images since update if i click on attachments the folders shown do not access the phones gallery click on more and select gallery but will only allow to send one if i click on the  to add more i have to select via the same route but it overides the one i previously selected and does not allow to select multiple makes sending pictures in bulk when i need to do so frequently rather difficult and long winded,negative
everything about the app is good however after the update text status have been messed up the text doesnt enlarge according to the amount of text on screen the number of words that are typable have also been reduced and it does not warn you when the number has been exceeded when typing why the downgrade,negative
awful last few updates i am used to tapping the paper clip icon which opened my gallery app and i was the able to select multiple pictures now after tapping the paper clip icon i can only select pictures and videos already sent or received previously in whatsapp i can get to my gallery app but via the  dots at the top right but i can only select  picture at a time please fix this bug thanks,negative
i really love this app i use it to text all of my friends and it makes it easier to identify that i have their correct number because of the profile picture although the call quality is really poor also on video calls i would like it to show nothing when i turn my camera off instead of just a blurry screen maybe you could show it as a blank background with my pfpprofile picture on it what i meant by poor quality is that i can barely hear my friends the audio becomes glitchy,negative
i would not recommend whatsapp to be used for businesses however it is very helpful for individual usage it delivers quick timely functional and consistent communication between any two individuals over half decent wifi it has its kinks to it like kicking you off once you start running low on storage or automatically downloading the photos of friends when you forgot to unselect that option but over all it is a great program to use,positive
one app that has seen a tremendous jump in its users as well as public interest in the last decade all in one from sending photos to documents to anything you need it is like a full on power package and a reliable application with security and privacy love the way whatsapp team is continuously working to bring great updates and features the layout and user interface and every feature is improving with time and hoping for more in the near future we expect a lot now from this amazing,positive
it is good app but still i have a suggestion to implement as below if anyone uses the onetime view for images videos or text then screen recording or taking screen shots should be disabled so that this feature makes sense i hope you will consider these suggestions and improve the services as soon as possible,positive
latest update forces the whatsapp gallery when wanting to send a file you have to now go through extra steps to get to the devices storage no setting to allow the end user to choose what the default should be obviously no one really thought that out piss poor but then again that is how facebook programmers are  they do not think,negative
 constant backup issues now i have to use two copies of the app  the app for mac wants to update but it does not for some reason and does not open either so i use a web version instead  cannot make a voice call quiet enougheven in the quietest mode it is too loud so that people in the same car can hear everything there is no issue with that in other messengers  and of course timeless classicsno way to use it on the laptop unless your phone has an active internet connection,negative
latest update was not good the app does not recognize phones media and instead only shows its own which is useless when it comes to send recent pictures from phones camera also because it needs several steps now just to send a recent pictureimage from phones gallery it can only send one at a time which is tiring as hell and finally it cannot send videos from the phones gallery since the app only recognize pictures fix this garbage this update is really inconvenient and pointless,negative
update needs to be fixed i am not sure if it is whatsapp or samsung but now all of a sudden you cannot upload pictures straight from your gallery and instead it gives you a list of media from your whatsapp chats which is near on useless you can share pictures from your actual gallery if you go on more options but then it limits you to just one picture at a time i am not sure who tested this but it is a mess how do you go back to a previous version of the app,negative
it is a really great app makes communication easier and fast you make calls to both local and international it is really awesome but it would have been super great if it could have a feature where you met your messages where left them just like in telegram,positive
used to be great not anymore whatsapp does not recognize phones media after the latest android upgrade this creates a major inconvenience when it comes to sending files in addition phone calls disconnect after a few minutes blaming the phones microphone and on top of that their customer support is the worst i have seen in a long time so slow and useless such a big disappointment,negative
it is good app but still i have a suggestion to implement videos or text then screen as below if anyone uses the onetime view for images recording or taking screen shots should be disabled so that this feature makes sense i hope you and improve the services as soon as possible will consider these suggestions,positive
why i cannot take a clearly picture easily it always blur  last time is good  now so lousy  even though i use flash  it take a long time to come out the pictures  please improve it  i suggest you make a button cotton for turn off the vibration after the photo is took  maybe that is the main problem  one more things is the voice notes message please do not auto put black screen for hearing the voice notes  it is very disturb for some phone that proximity sensor very sensitive,negative
i love this app it is very reliable in my opinion and it has good quality i do not know what i would do without it i just wish there would be more features with the status viewing where you can make different groups of people who can view your status and also that you can see who viewed your status when your read receipts are off i do however dislike the fact that we cannot screenshot  view photos anymore,positive
had a great experience so far however after the recent update  whattsapp calls are taking way too long to connect both incoming and outgoing have not checked on video calls though  messaging is working pretty fine  also while trying to attach a image from within the chat window especially which has been taken as a screenshot it is not able to locate the image have to go to the gallery and use the share option on the image i am using a oneplus  t,positive
all the features are good and all but the live location sharing is not working very well it does not update my location at all it just shows my first updated location and that is it idk why is this happening because my gps is turned on and the app is up to date i hope someone can fix this because i use this a lot and it happens all the time,negative
do not know why they make it worse and worse every update new way of choosing photos is awful i have to take several extra steps to get to a photo and today i took a video and it would not even show up in whatsapp so i had to open my google photos and share via whatsapp from there to send it not only that but i am having untold number of issues trying to call out to people using this,negative
since the last update the app does not allow you to send multiple pictures you have to send them one by one which is frustrating and on top of that you no longer have access to your camera gallery you have to go through multiple stupid annoying steps to try and find the pictures from your camera to send  by  this app has changed for the worst it is now useless and garbage so disappointing,negative
a couple of issues  when selecting photos to be sent it no longer shows the phones gallery folders by default very inconvenient to have to access it through the  dots on top left hand corner  unable to select multiple photos to be sent at once extremely inconvenient please look into it and fix them thanks,negative
on xiaomi mi a the app has  major problems  voice notes get sent empty after some random amount of time of app usage force stopping the app and restarting solves the issue but it is super annoying you be talking for minutes and boom the voice memo is silent  when scrolling up in the chat the chat glitches for a split of second and scolls itself up way higher than it should like i just wanted to see messages from yesterday but suddenly i am at the messages from  days ago,negative
it is good in general but has limitations like backup because we can only do it in our messages and contacts could have how to make backups mainly of stickers since it is deleted after formatting the own backup can sometimes stay in the loop and does not finish even though the internet be stable also we cannot search for a gif and emoji directly on the whatsapp this will be so practical and easy to send if it was added and when i search me to send anything for me does not appear myself,negative
my phone model is smjf there is a slight problem that needs to be fixed on the status tab when you scroll to the bottom it feels like the frame is dropping a lot so the screen is lagging and not as smooth as scrolling on chat tab hope this optimized asap thank you,negative
a simple and lightweight chat app you can send images with reduced size or original size as you like and almost any file with ease the main concerns are  somehow i cannot reply any status at all with newer versions the reply box and enter button is not shown by swiping up is it a bug on tablet devices  please increase maximum pinned chatsgroups  is not enough  somehow there are random business accounts those chatted me for unknown reasons and unrelated to me is it a bot spam,negative
experience is gud as far as it meets the basic requirements few more things can be added like a section where we can get to see a list of all the groups we are a part of in the app it is really annoying when i find some old groups made by our friends and now no one remembers that group we should have a list of all those groups so that either we can engage it or delete it easily without going to scroll till the bottom,positive
i use whatsapp everyday for the the past years the last update sucks cant select multiple photosvideos cant choose right away from gallery like before the first albums are whats app chat pictures i would like it to go back how sending picturevideo attachments were please not only me other users feel this way also please fix this issue,negative
keeps getting worse i cannot view onetime photos even though my whatsapp is fully uptodate even my system os is uptodate i tried uninstalling and reinstalling whatsapp to fix it but it ended up creating more problems  the restoring media has been stuck at  and it is doing absolutely nothing whatsapp developers  please help me and fix all the bugs,negative
whatsapp needs an update i cant send people images from my phone it only shows images from last week i have to screen shot each individual image and past it in the message to send its incredibly annoying and yes media visibility is on i have googled the issue extensively and havent seen any remedies for it yet please fix this,negative
i hope that whatsapp cancels the last seen feature because it is annoying to me on most modern devices some people are online now and the caller feature does not appear now and we do not know whether it is inside the program or outside it please take into account this matter and know that it is a special privacy others have it but it is annoying,positive
had a great experience so far however after the recent update while trying to attach a video captured photo or screenshot within the chat window it is not able to locate the videos or captured photos or screenshots have to go to the gallery and use the share option on the video or screenshot i am using samsung galaxy note  lite,positive
no ads easy to use well laid out receives messages and calls really well good quality reception on calls reliable end to end encryption good status function though not everyone uses it totally perfect the creators definitely know how to cater for peoples needs do not know what i would do without it if you do not have this app you are missing out,positive
since the latest update roughly a week ago i can only attach  picture at a time also when you go to attach a photo it does not automatically go to a view of your gallery you have to click a button in the top right select gallery select camera only then can you view the photos you took with your phone or screenshots the two most frequent things i send fix this right away please contemplating just using facebook messenger if this continues,negative
i use whatsapp on mobile web and desktop i am not sure where i can submit a product improvement requestsuggestion i just notice that we cannot resize the zoom level of the desktop app it would be aweosome if we can change the zoom level by pressing ctrl and  it would be great to have this feature thats similar to your other competitors i know this is possible with whatsapp web but i do not think it would hurt to have the same function on the desktop app,positive
why oh why they cannot set it so you can view gifs without them being saved to your phones gallery i want to see them but i do not want them to be saved i have turned off auto download but then you cannot view them at all unless you tap on the individual gifsnd then you have to delete it from your gallery very frustrating,negative
absolutely terrible messenger i cannot believe anyone actually uses it this thing drives me insane the design makes messages barely readable names are always unavailable backups are a joke notifications are messy there are no pinned messages no date searching there is just so much that is missing or is working badly it is like a curse because it is terrible but you cannot escape it because everybody is using this app for some reason,negative
whatsapp audiovideo calls take a lot of the to connect when on data pack when on wify connects easily and no it does not happen because of data not working properly as i can stream anything easily when on data so it is a software issue please fix it asap i use one plus t please fix the issue,positive
over the last few months this app has been the worst it is so annoying because i would use this app as my main source of communication with others however recently my messages just stop sending and videovoice calls are bad quality the app does not work and it looks like it is because of network issues but it is only that app that stops working,negative
it was really good i enjoyed contacts and media and texts with my relatives abroad and my girlfriend all with a nice snappy layout but then one day things got corrupted and i lose profiles and chats my backup files did no good deleting cache did not work and restarting was ineffective i had to reinstall this app and lose all preexisting data,positive
something has gone very wrong in the last update when attaching photos the camera album is no longer accessible only albums showing images from whatsapp chats are visible which is basically pointless the workaround is to click the three dots select gallery and then choose camera this workaround only lets you select one image at a time though and no video files are shown either it is a complete pain whatsapp devs ease unbreak this feature,negative
suggestions  restrict certain people from voice calling and video calling  add a ping feature or something similar to notify us when something is urgent  the ability to see if someone has quoted a message in their reply on the notification tray  the ability to react to messages from the notification tray thanks,positive
recently my android phone updated it is voicetotext feature the android text by microphone had been fairly accurate but suddenly became almost useless the whatsapp voicetotext has always been more precise than androids microphone feature but ever since android self destructed its microphone feature whatsapp is the only game in town i will rely on whatsapp for all my voicetotext work i am talking about serious work with important documents whatsapp is superior in voice to text work,negative
since the last update the chat do not organize according to the date of messages if one is to delete sone messages in a chat then the date of the last message is what it gets organized by since the update the messages are organized since the last time there is been communication with that individual even if you delete some unimportant messages the chat does not get reorganized please fix this the previous way helped a lot or at least give us the option to choose thank you for listening,positive
the app was working fine until the recent update when you call a person via bluetooth headset it connects your call to the receiver but the receiver cannot hear your voice but can hear you when then receiver calls you themselves also the quick message notification feature does not deliver texts properly with the sender not receiving the texts unless one opens the app please fix this issue as i think it is related due to some bug,negative
recent update really messed up the gallery section not only it does not open the phones gallery by default but even when you reach it you cannot find videos there so you cannot send videos directly from the app anymore the gallery is showing only pics and there is no way to get to the video files,negative
new update is horrible cannot send photos from my camera roll while inside whatsapp i have to go into my images app to select and send from there horrible user experience and i hope they change it soon since being bought out there has been nothing but problems with each and every whatsapp version i hate mark zucchini and what he is doing to this app i hope you eat  and ,negative
even though this app has been wonderful over the years but after my recent update it became almose the worst of itself i no longer get notifications for messages and when there is an incoming call i cannot see the caller i only hear the ringing i have to go open the app the view the caller this has to be fixed asap,negative
recent update an update pop up notifications not available  i have not been able to receive notifications on my phone unless i open the app i am no longer able to turn this feature on at all help also when i try to connect to bluetooth devices my phone is connect to the bluetooth but whatsapp does not recognize this and remains on the normalloud speaker,negative
i updated my whatsapp two days ago but still when some messages are sent i cannot see them because it is showing my whatsapp has not been updated please fix this and when i am watching a video on someones statue the video skips to the next  or  stories and i cannot even go back please do something about it it is annoying thank you,negative
there seems to be an issue with chat sorting older chats of mine are being shown on top a contact had last messaged me in september they again messaged yesterday and i deleted that message still the position of their chat is on top it is not pinned i have been facing this issue recently and tried contacting support but i get an automated response this issue is out of scope,negative
after the recent update i am finding it difficult in making voice call and video call too i am unable to hear anything while making voice or video call through whatsapp it is annoying me a lot as i use this app for making most of my calls it is a complete waste recharging my data pack there is no option to contact whatsapp team as well what a poor service provider,negative
i downloaded the app on my new phone s ultra and for some reason i cannot get pass the initialising phase it just keeps loading and loading and not doing anything i tried everything delete and reinstall removed my sim card connected to wifi connected to mobile data turned off my phone restarted my phone still cannot get pass initialising very frustrating i use this app for work but i cannot anymore hope they fix it,negative
app is crashing when opening only opens when i get a chat notification when i press back to go to the chats screen it crashes i cleared cache restarted phone etc and the backup does not even complete always gets stuck midway so i am afraid of deleting the app and reinstalling because i doubt anything has been backup up absolutely disappointed found out whatsapp dual does not work if my secured folder is locked working now,negative
the latest update is annoying as hell i need to go several steps just to send a picture or video from my gallery whatsapp only recognizes the media from whatsapp folder which is useless then i cannot send more than one photos from my gallery please fix this issue and go back to the previous update this is so tiring i might go to another platform if whatsapp is still going like this for a long period time,negative
i had a very good experience of using this application and it is so useful for the person to have a conversation with the person who is far from us just one suggestion you must add up the music in the story uploading so the people who wants to add music with photo or a video can be possible eaasily must do this change and update it soon people will so happy to use it thank you very muchas a user of whatsapp  i have seen one of the new features ie poll selection this feature is not so us,positive
i used to be able to be on a call on whatsapp and simultaneously be able to listen to other audio at the same time useful when me and the person i am on call with want to listen to a twitch stream twitter space etc together and talk not sure what happened but i can no longer play other audio while being on a whatsapp call please fix this issue,positive
recently for the past  days my whatsapp profile picture keeps getting deleted automatically when i say deleted please note thati can set my profile picture successfully after adding and setting the profile picture successfully there is no problem and everything seems normal howeverif i return to the app after sometimethere is no profile picture set i did check for updates and i updated from the playstore to the latest versionbut the problem still exists,negative
the new updates are bad and i do not like it if we delete any text from any contact it is not getting sorted with the last msg available in that chat when we try to look into profile pic it is opening status of that contact first which is horrible i am looking to revert the latest update kindly share the steps if we have that option the latest updates are disappointing,negative
poor ux between mobile and desktop versions upgrade broke many things desktop version archive or delete messages does not do the same in mobile apps every time i use the desktop apps i need to take a long time to sync new upgrade broke the photo attachment permissions for people looking for a solution go to settings apps whatsapps and allow permission for photos for crying out loud learn from telegram,negative
since you allowed use web whatsapp offline the experience got terrible before that the web whatsapp was fast and reliable now you start the page takes so long to carry on the messages when the tab closes it takes another eternity to reconnect it also often lost the connection and some messages apear on the phone and not appeared on page or viceversa,negative
recently annoying every day for last  days it is constantly trying to backup and failing at  i have tried turning backup off and it is still attempting it i have restarted my phone i have deleted some chats to reduce what it has to backup nothing works there is plenty of storage space i have just tried uninstalling and downloading the app again let us see if that works it didnt,negative
restoration of the backup process is full of glitches which can easily cause you to lose access to all your backed up chats media etc customer care is non existent when it comes to any solving issues automated messages are the most you can get out of them for such a widely used app this is extremely frustrating and disappointing,negative
it is a terrible app when you will have to switch from android to ios or vice verca you will understand what i mean it will be impossible to move chats across and you will have to pay  to some weird software for this telegram does not have such problem since it is cloud based secondly they limit account to  device when i have  phones that i use all the time on telegram you can add as many devices as you want,negative
facing issue in sending the media files from today no updates were made and i had latest version installed if i try to open the camera from whatsapp chat the screen freezes for sometime and get backs to chat if i try to send the file if i try to open gallery it takes few minutes and then gets back to chat storage available is around gb device one plus nord t android version ,negative
good app all messages can be sent and calls can be answered perfectly fine although i really wish for status they could add settings it would be much better if we could customize the fonts how big and small it is and so much more possibilities with each update the size of the fonts keep changing it was so good before small just to my liking but now its way too big i know for some people they would prefer big fonts but i would prefer small ones,positive
first of all app is awesome but need to update on status bar for example some one wants to upload a video message to on statusif heshe wants to share video which is more than minutes so heshe have to post for times second that is very annoying update on status barso we will post the video of more than  seconds in one time only that will be very helpful for all of us,positive
whatsapp started interfering with the keyboard and other screens when you minimize during a video call on the phone if you return to the screen none of the buttons work everything is up to date so please fix this bug as it is becoming a huge inconvenience,negative
good day whatsapp is an overall great app apart from a few minor issues after the recent update you can not view a profile picture anymore because it has a green circle around the picture and it takes you straight to the status that was posted by that person and also please can whatsapp make a separate tab to split the groups and individual chats completely because the tab for communities makes nothing different thank you,positive
